Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1961,1961,tonnes,9548680,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1962,1962,tonnes,9371964,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1963,1963,tonnes,9590284,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1964,1964,tonnes,9423710,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1965,1965,tonnes,9308950,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1966,1966,tonnes,9906931,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1967,1967,tonnes,10458074,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1968,1968,tonnes,10887859,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1969,1969,tonnes,11084294,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1970,1970,tonnes,10173846,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1971,1971,tonnes,10562157,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1972,1972,tonnes,10607750,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1973,1973,tonnes,11273595,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1974,1974,tonnes,10982286,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1975,1975,tonnes,11645050,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1976,1976,tonnes,11317686,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1977,1977,tonnes,12304158,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1978,1978,tonnes,12106304,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1979,1979,tonnes,13333664,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1980,1980,tonnes,12758185,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1981,1981,tonnes,14204206,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1982,1982,tonnes,14692796,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1983,1983,tonnes,14558157,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1984,1984,tonnes,14723844,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1985,1985,tonnes,15466031,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1986,1986,tonnes,15815509,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1987,1987,tonnes,16105021,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1988,1988,tonnes,15982403,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1989,1989,tonnes,16169110,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1990,1990,tonnes,17625893,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1991,1991,tonnes,17755360,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1992,1992,tonnes,18450270,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1993,1993,tonnes,20686251,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1994,1994,tonnes,22183862,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1995,1995,tonnes,24010830,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1996,1996,tonnes,25765694,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1997,1997,tonnes,27102309,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1998,1998,tonnes,28604857,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,1999,1999,tonnes,30790976,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,2000,2000,tonnes,38216932,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,2001,2001,tonnes,39629210,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,2002,2002,tonnes,42884931,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,2003,2003,tonnes,43723523,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,2004,2004,tonnes,43425528,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,2005,2005,tonnes,46402928,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,2006,2006,tonnes,50099031,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,2007,2007,tonnes,54175862,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,2008,2008,tonnes,58537814,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,2009,2009,tonnes,60845061,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,2010,2010,tonnes,62611105,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,2011,2011,tonnes,66382572,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,2012,2012,tonnes,69580178,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,2013,2013,tonnes,72059494,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,397,Cucumbers and gherkins,2014,2014,tonnes,74975625,A,"Aggregate, may include official, semi-official, estimated or calculated data"
